0,0.64,0.48706,0.0531368,0.369442,0,0,0.062191,0.0786173,0,0,0.64,0,0,0,0.32,0,1.29,1.93,0,0.96,0,0,0,0,0,0,0,0,0,0.0114053,0,0,0.00504105,0,0.0261262,0.071536,0,0.0217548,0,0,0,0.0173207,0,0,0,0,0,0,0,0.0238053,0.778,0.125554,0,5.94346,61,278
0.21,0.28,0.5,0,0.14,0.28,0.144444,0.07,0.129302,0.414363,0.21,0.79,0.65,0.21,0.14,0.14,0.07,0.28,3.47,0,1.59,0,0.43,0.333926,0.0516788,0.0431368,0,0,0,0,0,0,0.0187323,0,0,0,0.07,0,0,0,0,0,0.00348814,0,0,0,0.0125971,0,0,0.132,0.0157924,0.372,0.272061,0.0165333,5.114,101,691.901
0.06,0,0.305255,0,0.368661,0.19,0.19,0.12,0.64,0.25,0.0710284,0.45,0.12,0,0.178103,0.06,0.06,1.03,1.36,0.32,0.51,0,1.16,0.093105,0,0,0,0,0.0114442,0,0.00154432,0,0.194323,0.00220318,0,0,0,0,0.00377922,0.06,0,0,0.12,0,0.06,0.00252218,0.00541997,0.00242133,0.01,0.143,0,0.276,0.277806,0.01,9.821,485,2259
0,0,0,0,0.63,0.0960559,0.31,0.63,0.159396,0.63,0.31,0.31,0.31,0,0,0.31,0,0,3.18,0,0.31,0,0.144533,0,0.139388,0,0.344481,0,0.00477391,0,0.0012858,0,0,0,0,0.0320827,0,0,0.00640906,0,0,0.115102,0.00402827,0,0,0,0.00476774,0,0,0.137,0.00250701,0.137,0,0,3.537,40,191
0,0,0.262451,0,0.63,0,0.12172,0.63,0.31,0.63,0.31,0.31,0.31,0,0.0383774,0.31,0,0,3.18,0,0.31,0,0,0,0,0,0,0.00561368,0,0,0,5.38213e-05,0.00774119,0,0.0111246,0,0,0,0,0,0,0.0718974,0,0,0.0129001,0,0,0,0,0.135,0,0.135,0,0,3.537,40,191
0,0.176954,0,0,1.85,0,0,0.0524077,0,0.150596,0,0.481462,0,0,0,0,0.125602,0.147608,0,0,0,0,0,0,0,0,0.712235,0,0,0,0.048887,0.00960618,0,0,0.102098,0,0,0.013549,0,0,0.00422994,0,0.00524553,0,0,0,0.00100441,0,0,0.223,0,0,0,0,3,15,54
0,0,0,0,1.92,0.170106,0,0,0,0.64,0.96,1.28,0.0795445,0,0,0.96,0,0.32,3.85,0.257117,0.64,0,0.177792,0,0,0,0,0.00886494,0,0.0736795,0.0109623,0.000258481,0.0140243,0.000535806,0.0167888,0,0,0,0,0.119902,0,0.200372,0,0.0514594,0,0,0,0,0,0.054,0.000129126,0.164,0.054,0,1.671,4,323.021
0,0,0,0.0112109,1.88,0.0227355,0,0.0361911,0,0,0,0,0,0,0,0,0,0,0,0,0.378119,0.011634,0,0,0.601728,0,0.747263,0,0,0.0649498,0,0,0.15202,0,0.127317,0.0650117,0,0,0,0,0,0,0,0.369212,0,0.0450933,0,0.00897723,0.0368246,0.206,0,0.087977,0,0,2.45,11,49
0.15,0,0.46,0,0.61,0,0.3,0.381363,0.92,0.76,0.76,0.92,0,0,0,0,0.316688,0.15,1.23,3.53,2,0,0,0.15,0,0,0,0,0.00202413,0,0,0,0.15,5.62269e-06,0,0,0,0,0,0,0,0,9.85318e-05,5.10406e-05,0,0,0,0,0.0044269,0.271,0.000334979,0.181,0.125904,0.022,9.744,245.472,641.711
0.196322,0.12,0.77,0,0.19,0.32,0.0899695,0.392517,0.06,0.306719,0.0893826,0.976989,0.25,0,0.12,0,0.171822,0.12,1.67,0.06,0.71,0.0743394,0.19,0,0,0,0,0.0186688,0.0102322,0,0,0,0,0,0,0,0,0,0,0,0.0057643,0,0,0.00942839,0,0,0,0,0.0685732,0.03,0.0186414,0.807538,0.081,0.0253447,1.729,43,749
